Country,Zone,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Canada,North America,135884,157643,176567,208214,222364,224069,242372,259017,256021,255222,268485,281306
U.S.A,North America,526120,611165,696739,799062,804933,827140,931292,980688,1039947,1085309,1118983,1213624
Argentina,Central & South America,2799,3313,4493,4992,5087,6011,7626,9391,9831,10325,9731,9351
Brazil,Central & South America,7397,7005,9148,10788,11530,13964,15219,17268,18440,18551,19563,20610
Mexico,Central & South America,4570,5398,6502,8299,9272,8185,10458,10876,11254,13074,13978,14049
Austria,Western Europe,21093,27187,28045,26692,25900,27930,32620,36483,38585,36465,34360,33670
Belgium,Western Europe,24007,25596,29156,34207,36277,34759,37709,40478,42604,38091,37441,36684
Denmark,Western Europe,15805,20170,21592,28347,34253,30857,35541,34683,33084,30842,26775,24073
Finland,Western Europe,12525,16258,22860,34364,29223,24874,24089,23730,22416,21212,18765,18129
France,Western Europe,131824,152258,175345,204827,207802,196462,225232,231423,240674,248379,246101,230854
Germany,Western Europe,116679,120243,156808,184195,204344,191616,227720,240235,254783,252003,239106,248314
Greece,Western Europe,4468,4793,5146,6455,6672,6664,7441,7253,7493,7983,8300,8087
Ireland,Western Europe,8996,10052,14936,18376,18924,19223,20329,22089,24546,27174,28978,32973
Italy,Western Europe,65561,67642,79978,93540,85766,77873,94100,100889,98743,93951,91589,88091
Netherlands,Western Europe,51211,52755,58611,67429,71605,64580,70756,75153,74800,69547,67747,66181
Norway,Western Europe,10631,11194,14216,19484,22369,22092,22229,24578,23569,21462,19690,19757
Portugal,Western Europe,10648,11457,13108,15756,15415,17184,21038,24061,24670,29612,36156,44616
Spain,Western Europe,42895,45247,53520,63357,62535,59047,72591,71405,67044,62079,66463,65694
Sweden,Western Europe,26154,28799,36013,47090,58961,43327,45028,48690,51058,48826,44948,42626
Switzerland,Western Europe,28260,34311,37446,41172,42107,38290,43134,46332,48388,48821,45773,46151
U.K.,Western Europe,555907,651083,734240,796191,776530,769251,759494,798249,788170,809444,838860,867601
Czechoslovakia,Eastern Europe,4114,4783,5760,,8549,8328,9918,11256,11129,10121,9878,11441
