Country,Zone,Year,Tourists
Canada,North America,2004,135884
U.S.A,North America,2004,526120
Argentina,Central & South America,2004,2799
Brazil,Central & South America,2004,7397
Mexico,Central & South America,2004,4570
Austria,Western Europe,2004,21093
Belgium,Western Europe,2004,24007
Denmark,Western Europe,2004,15805
Finland,Western Europe,2004,12525
France,Western Europe,2004,131824
Germany,Western Europe,2004,116679
Greece,Western Europe,2004,4468
Ireland,Western Europe,2004,8996
Italy,Western Europe,2004,65561
Netherlands,Western Europe,2004,51211
Norway,Western Europe,2004,10631
Portugal,Western Europe,2004,10648
Spain,Western Europe,2004,42895
Sweden,Western Europe,2004,26154
Switzerland,Western Europe,2004,28260
U.K.,Western Europe,2004,555907
Czechoslovakia,Eastern Europe,2004,4114
Poland,Eastern Europe,2004,8445
Russia,Eastern Europe,2004,
Ukraine,Eastern Europe,2004,
Egypt,Africa,2004,3781
Kenya,Africa,2004,17538
Mauritius,Africa,2004,19823
Nigeria,Africa,2004,6659
South Africa,Africa,2004,32148
Sudan,Africa,2004,
Tanzania,Africa,2004,9953
Bahrain,West Asia,2004,4414
Iraq,West Asia,2004,
Israel,West Asia,2004,39083
Oman,West Asia,2004,14927
Saudi Arabia,West Asia,2004,11929
Turkey,West Asia,2004,7008
U.A.E.,West Asia,2004,22668
Yemen Arab Rep.,West Asia,2004,8826
Afghanistan,South Asia,2004,12705
Bangladesh,South Asia,2004,477446
Bhutan,South Asia,2004,7054
Iran,South Asia,2004,24733
Maldives,South Asia,2004,21099
Nepal,South Asia,2004,51534
Pakistan,South Asia,2004,67416
Sri Lanka,South Asia,2004,128711
Indonesia,South East Asia,2004,11408
Malaysia,South East Asia,2004,84390
Myanmar,South East Asia,2004,4932
Philippines,South East Asia,2004,10492
Singapore,South East Asia,2004,60710
Thailand,South East Asia,2004,33442
Vietnam,South East Asia,2004,
China(Main),East Asia,2004,34100
China(Taiwan),East Asia,2004,18179
Japan,East Asia,2004,96851
Korea(South),East Asia,2004,47835
Australia,Australasia,2004,81608
New Zealand,Australasia,2004,16762
Canada,North America,2005,157643
U.S.A,North America,2005,611165
Argentina,Central & South America,2005,3313
Brazil,Central & South America,2005,7005
Mexico,Central & South America,2005,5398
Austria,Western Europe,2005,27187
Belgium,Western Europe,2005,25596
Denmark,Western Europe,2005,20170
Finland,Western Europe,2005,16258
France,Western Europe,2005,152258
Germany,Western Europe,2005,120243
Greece,Western Europe,2005,4793
Ireland,Western Europe,2005,10052
Italy,Western Europe,2005,67642
Netherlands,Western Europe,2005,52755
Norway,Western Europe,2005,11194
Portugal,Western Europe,2005,11457
Spain,Western Europe,2005,45247
Sweden,Western Europe,2005,28799
Switzerland,Western Europe,2005,34311
U.K.,Western Europe,2005,651083
Czechoslovakia,Eastern Europe,2005,4783
Poland,Eastern Europe,2005,10983
Russia,Eastern Europe,2005,
Ukraine,Eastern Europe,2005,
Egypt,Africa,2005,4048
Kenya,Africa,2005,19816
Mauritius,Africa,2005,19760
Nigeria,Africa,2005,10049
South Africa,Africa,2005,39229
Sudan,Africa,2005,
Tanzania,Africa,2005,11193
Bahrain,West Asia,2005,4923
Iraq,West Asia,2005,
Israel,West Asia,2005,42866
Oman,West Asia,2005,14979
Saudi Arabia,West Asia,2005,12444
Turkey,West Asia,2005,7906
U.A.E.,West Asia,2005,24560
Yemen Arab Rep.,West Asia,2005,9423
Afghanistan,South Asia,2005,14025
Bangladesh,South Asia,2005,456371
Bhutan,South Asia,2005,6934
Iran,South Asia,2005,28691
Maldives,South Asia,2005,33915
Nepal,South Asia,2005,77024
Pakistan,South Asia,2005,88609
Sri Lanka,South Asia,2005,136400
Indonesia,South East Asia,2005,12640
Malaysia,South East Asia,2005,96276
Myanmar,South East Asia,2005,5652
Philippines,South East Asia,2005,11422
Singapore,South East Asia,2005,68666
Thailand,South East Asia,2005,41978
Vietnam,South East Asia,2005,
China(Main),East Asia,2005,44897
China(Taiwan),East Asia,2005,18894
Japan,East Asia,2005,103082
Korea(South),East Asia,2005,49895
Australia,Australasia,2005,96258
New Zealand,Australasia,2005,20463
Canada,North America,2006,176567
U.S.A,North America,2006,696739
Argentina,Central & South America,2006,4493
Brazil,Central & South America,2006,9148
Mexico,Central & South America,2006,6502
Austria,Western Europe,2006,28045
Belgium,Western Europe,2006,29156
Denmark,Western Europe,2006,21592
Finland,Western Europe,2006,22860
France,Western Europe,2006,175345
Germany,Western Europe,2006,156808
Greece,Western Europe,2006,5146
Ireland,Western Europe,2006,14936
Italy,Western Europe,2006,79978
Netherlands,Western Europe,2006,58611
Norway,Western Europe,2006,14216
Portugal,Western Europe,2006,13108
Spain,Western Europe,2006,53520
Sweden,Western Europe,2006,36013
Switzerland,Western Europe,2006,37446
U.K.,Western Europe,2006,734240
Czechoslovakia,Eastern Europe,2006,5760
Poland,Eastern Europe,2006,14808
Russia,Eastern Europe,2006,
Ukraine,Eastern Europe,2006,
Egypt,Africa,2006,5528
Kenya,Africa,2006,20313
Mauritius,Africa,2006,20607
Nigeria,Africa,2006,9348
South Africa,Africa,2006,41954
Sudan,Africa,2006,
Tanzania,Africa,2006,11954
Bahrain,West Asia,2006,4793
Iraq,West Asia,2006,
Israel,West Asia,2006,42735
Oman,West Asia,2006,17849
Saudi Arabia,West Asia,2006,14006
Turkey,West Asia,2006,10221
U.A.E.,West Asia,2006,27593
Yemen Arab Rep.,West Asia,2006,9573
Afghanistan,South Asia,2006,18799
Bangladesh,South Asia,2006,484401
Bhutan,South Asia,2006,8502
Iran,South Asia,2006,29771
Maldives,South Asia,2006,37652
Nepal,South Asia,2006,91552
Pakistan,South Asia,2006,83426
Sri Lanka,South Asia,2006,154813
Indonesia,South East Asia,2006,16990
Malaysia,South East Asia,2006,107286
Myanmar,South East Asia,2006,7734
Philippines,South East Asia,2006,15644
Singapore,South East Asia,2006,82574
Thailand,South East Asia,2006,46623
Vietnam,South East Asia,2006,
China(Main),East Asia,2006,62330
China(Taiwan),East Asia,2006,26503
Japan,East Asia,2006,119292
Korea(South),East Asia,2006,70407
Australia,Australasia,2006,109867
New Zealand,Australasia,2006,23493
Canada,North America,2007,208214
U.S.A,North America,2007,799062
Argentina,Central & South America,2007,4992
Brazil,Central & South America,2007,10788
Mexico,Central & South America,2007,8299
Austria,Western Europe,2007,26692
Belgium,Western Europe,2007,34207
Denmark,Western Europe,2007,28347
Finland,Western Europe,2007,34364
France,Western Europe,2007,204827
Germany,Western Europe,2007,184195
Greece,Western Europe,2007,6455
Ireland,Western Europe,2007,18376
